I,1,Cog,3.75,14,4,40,12
O,2,Spring,2.3,7,5,20,C1
O,3,Screw,0.11,280,100,1000,CompanyLtd
O,4,part1,1.34,15,2,15,me
I,5,part2,1.23,11,1,11,1
O,6,p3,1.0,11,1,13,ebgef
I,7,p111,1.23,11,2,12,23
O,8,part10,1.51,5,2,19,none
I,10,part11,1.23,1,1,9,123
I,11,part12,1.89,3,1,8,124
O,12,Part100,2.34,10,4,10,NewCompany
O,13,Part200,10.4,10,10,12,MyCompany
I,1,P1,10.3,3,2,10,10
I,2,piesa,0.1,5,5,10,1
I,3,piesa,1.0,6,5,10,1
I,4,piesa,1.7976931348623157E308,9,5,10,1
I,5,piesa,1.7976931348623157E308,10,5,10,1
I,6,piesa,0.1,5,5,10,1
I,7,piesa,1.0,6,5,10,1
I,8,piesa,1.7976931348623157E308,9,5,10,1
I,9,piesa,1.7976931348623157E308,10,5,10,1
I,10,piesa,0.1,5,5,10,1
I,11,piesa,1.0,6,5,10,1
I,12,piesa,1.7976931348623157E308,9,5,10,1
I,13,piesa,1.7976931348623157E308,10,5,10,1
I,14,piesa,0.1,5,5,10,1
I,15,piesa,1.0,6,5,10,1
I,16,piesa,1.7976931348623157E308,9,5,10,1
I,17,piesa,1.7976931348623157E308,10,5,10,1
I,18,piesa,0.1,5,5,10,1
I,19,piesa,1.0,6,5,10,1
I,20,piesa,1.7976931348623157E308,9,5,10,1
I,21,piesa,1.7976931348623157E308,10,5,10,1
I,22,piesa,0.1,5,5,10,1
I,23,piesa,1.0,6,5,10,1
I,24,piesa,1.7976931348623157E308,9,5,10,1
I,25,piesa,1.7976931348623157E308,10,5,10,1
I,26,piesa,0.1,5,5,10,1
I,27,piesa,1.0,6,5,10,1
I,28,piesa,1.7976931348623157E308,9,5,10,1
I,29,piesa,1.7976931348623157E308,10,5,10,1
I,30,piesa,0.1,5,5,10,1
I,31,piesa,1.0,6,5,10,1
I,32,piesa,1.7976931348623157E308,9,5,10,1
I,33,piesa,1.7976931348623157E308,10,5,10,1
I,34,piesa,0.1,5,5,10,1
I,35,piesa,1.0,6,5,10,1
I,36,piesa,1.7976931348623157E308,9,5,10,1
I,37,piesa,1.7976931348623157E308,10,5,10,1
I,38,piesa,0.1,5,5,10,1
I,39,piesa,1.0,6,5,10,1
I,40,piesa,1.7976931348623157E308,9,5,10,1
I,41,piesa,1.7976931348623157E308,10,5,10,1
P,1,itemName,7.45,7,2,20,1:2:3
P,2,product2,12.34,12,1,12,4
P,4,products4,11.0,2,1,10,5:8:7:7
P,5,TEST,100.0,102,100,150,2:13
P,6,Test Product,50.0,20,5,30,1
